,STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyStationPressure,HourlyWindSpeed,cloud cover percentage,is_fire
246,72286903171,20180523125100,70.0,0.0,0.0,53.0,29.06,8.0,0.5,False
247,72286903171,20210218125300,66.0,0.0,0.04,10.0,29.39,13.0,0.0,False
248,72286903171,20220905125300,107.0,0.0,0.07,27.0,28.84,15.0,0.0,True
249,72286903171,20230627125300,84.0,0.0,0.03,31.0,28.95,13.0,0.0,True
250,72286903171,20230620125300,82.0,0.0,0.02,31.0,29.08,9.0,0.0,True
251,72286903171,20220325125300,88.0,0.0,0.07,15.0,29.06,7.0,0.0,False
252,72286903171,20170707125300,107.0,0.0,0.06,22.0,28.95,9.0,0.0,True
253,72286903171,20200123125300,76.0,0.0,0.11,23.0,29.16,8.0,0.0,False
254,72286903171,20160228125300,81.0,0.0,0.06,27.0,29.08,5.0,0.5,False
255,72286903171,20210123125100,45.0,0.0,0.0,93.0,29.0,6.0,0.875,False
256,72286903171,20200724125300,84.0,0.0,0.05,37.0,29.0,10.0,0.0,True
257,72286903171,20170518125300,81.0,0.0,0.05,23.0,28.96,11.0,0.0,True
258,72286903171,20230706125300,86.0,0.0,0.05,32.0,28.99,13.0,0.0,True
259,72286903171,20170615125300,94.0,0.0,0.03,21.0,29.0,13.0,0.0,True
260,72286903171,20200709125300,93.0,0.0,0.04,18.0,28.97,7.0,0.0,True
261,72286903171,20170902125300,104.0,0.0,0.04,22.0,28.91,13.0,0.0,True
262,72286903171,20190529125300,83.0,0.0,0.04,34.0,28.95,7.0,0.0,True
263,72286903171,20200528125300,87.0,0.0,0.01,37.0,29.03,15.0,0.0,True
264,72286903171,20191010121300,79.0,0.0,0.0,6.0,29.02,15.0,0.0,True
265,72286903171,20170109125300,57.0,0.0,0.03,96.0,29.26,0.0,1.0,False
266,72286903171,20220401125300,71.0,0.0,0.04,46.0,28.99,5.0,0.0,False
267,72286903171,20161228125300,76.0,0.0,0.07,18.0,29.22,11.0,0.0,False
268,72286903171,20180407124200,73.0,0.0,0.0,57.0,29.06,8.0,0.875,False
269,72286903171,20221229125300,57.0,0.0,0.04,74.0,29.09,3.0,0.875,False
270,72286903171,20170508125300,74.0,0.0,0.06,31.0,28.95,10.0,0.25,False
271,72286903171,20161127125100,54.0,0.0,0.0,100.0,29.09,3.0,1.0,False
272,72286903171,20170919125300,77.0,0.0,0.06,48.0,29.0,7.0,0.5,False
273,72286903171,20231021125300,88.0,0.0,0.06,28.0,28.92,9.0,0.0,False
274,72286903171,20230616125300,79.0,0.0,0.04,49.0,29.06,5.0,0.0,False
275,72286903171,20210511125300,75.0,0.0,0.06,45.0,29.01,0.0,0.0,False
276,72286903171,20201017125300,94.0,0.0,0.05,15.0,29.03,9.0,0.0,False
277,72286903171,20190202125300,56.0,3.0,0.13,87.0,28.89,13.0,0.25,False
278,72286903171,20231030125300,78.0,0.0,0.08,8.0,29.17,16.0,0.0,True
279,72286903171,20230520125300,85.0,0.0,0.06,43.0,29.12,14.0,0.0,True
280,72286903171,20170220125300,64.0,0.0,0.05,68.0,29.34,3.0,1.0,False
281,72286903171,20200317125300,58.0,0.0,0.06,41.0,29.06,3.0,0.875,False
282,72286903171,20180509125300,85.0,0.0,0.06,32.0,28.99,8.0,0.0,False
283,72286903171,20170521125300,95.0,0.0,0.03,16.0,28.99,16.0,0.0,True
284,72286903171,20170604125300,89.0,0.0,0.04,36.0,28.96,11.0,0.5,True
285,72286903171,20170827125300,98.0,0.0,0.06,28.0,28.98,14.0,0.25,True
286,72286903171,20170718125300,94.0,0.0,0.04,33.0,29.02,10.0,0.0,True
287,72286903171,20170804125300,96.0,0.0,0.05,31.0,29.04,13.0,0.25,True
288,72286903171,20210302125300,76.0,0.0,0.09,7.0,28.97,3.0,0.0,False
289,72286903171,20190530125300,84.0,0.0,0.05,34.0,28.97,11.0,0.0,True
290,72286903171,20230626125300,82.0,0.0,0.05,33.0,29.01,13.0,0.0,False
291,72286903171,20220604125300,76.0,0.0,0.02,48.0,29.03,7.0,0.0,True
292,72286903171,20200306125300,75.0,0.0,0.06,40.0,29.08,15.0,0.0,True
293,72286903171,20230527125300,74.0,0.0,0.03,46.0,29.04,7.0,0.0,False
294,72286903171,20201022125300,72.0,0.0,0.03,57.0,28.98,8.0,0.0,False
295,72286903171,20180415125300,80.0,0.0,0.04,11.0,29.06,10.0,1.0,True
296,72286903171,20190914125300,104.0,0.0,0.06,13.0,28.98,10.0,0.0,True
297,72286903171,20230624125300,81.0,0.0,0.04,34.0,29.11,3.0,0.0,False
298,72286903171,20191014125300,75.0,0.0,0.06,39.0,29.01,6.0,0.0,True
299,72286903171,20200829125300,94.0,0.0,0.04,22.0,28.96,7.0,0.0,False
300,72286903171,20220526125300,86.0,0.0,0.04,36.0,29.01,13.0,0.0,True
301,72286903171,20170606125300,80.0,0.0,0.04,49.0,29.01,9.0,0.0,False
302,72286903171,20191109125300,89.0,0.0,0.08,7.0,29.08,5.0,0.0,False
303,72286903171,20190520125300,69.0,0.0,0.0,36.0,29.02,10.0,0.875,True
304,72286903171,20200608125300,85.0,0.0,0.01,6.0,29.1,18.0,0.5,True
305,72286903171,20200309125300,71.0,0.0,0.07,30.0,29.13,5.0,0.25,False
306,72286903171,20170328125300,76.0,0.0,0.04,14.0,29.1,14.0,0.0,False
307,72286903171,20200723125300,79.0,0.0,0.06,47.0,29.01,7.0,0.0,False
308,72286903171,20201227125300,56.0,0.0,0.11,62.0,29.01,0.0,0.875,False
309,72286903171,20220921125300,82.0,0.0,0.06,33.0,29.02,0.0,0.0,False
310,72286903171,20190812125300,93.0,0.0,0.0,27.0,0.0,6.0,0.0,True
311,72286903171,20210615125000,0.0,0.0,0.0,0.0,28.96,6.0,0.0,True
312,72286903171,20221001125300,77.0,0.0,0.06,50.0,0.0,5.0,0.0,False
313,72286903171,20170205125300,55.0,0.0,0.09,87.0,29.11,3.0,1.0,False
